40873 4%272 ]85!2 @3053  4836% :63(3 99#7% 29322
0825$ 75218 9,605 78234  9334] 16860 3){}4 66828
55/15 #3329 58094 85823  2*616 9~3&0 1).50 41302
83&86 60006 28796 89`56  ;1739 '86)1 7=916 02961
00318 3420@ 5!958 76401  ]5000 00747 7154& 5876-

16786 6]539 589%3 504!/  ]8836 46%93 00941 393;4
76$63 92122 65683 ]9}<2  1071/ |965- 68082 9431/
2647* 5$217 56134 89468  07_17 9-96% 06#50 66)4%
28587 07855 01748 60309  06677 93738 2>016 22857
39526 09075 74156 ^3928  70\7, 1168- 4293= 2:518

1/082 89661 04780 34895  (3{22 56885 \9848 40866
2-!*7 152#5 84660 8;97&  3=916 26407 37344 #35%1
15537 1#240 31193 1~025  61272 2233& 67477 97_55
9:115 #6414 `3316 0482>  0107, 675#5 4=686 211.0
6830' 44$27 50505 95479  62@60 ",65$ 0>620 3/071
